Program,Formal Code,Title,Section,Room1,Room2,Day1,Day2,Time1,Time2,Faculty Full Name,Initial,Cr.
BSCSE,ACT 2111,Financial and Managerial Accounting,B,304,304,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Israt Jabin,ItJn,3
BSCSE,ACT 2111,Financial and Managerial Accounting,C,303,303,Sun,Wed,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Ishrat Jahan,IJ,3
BSCSE,ACT 2111,Financial and Managerial Accounting,A,303,303,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Ishrat Jahan,IJ,3
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AC,303,303,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Al Jamal Mustafa Shindaini,AJMSh,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AD,303,303,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Mabia Momen,MaMmn,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AE,303,303,Sun,Wed,01:51:PM - 03:10:PM,01:51:PM - 03:10:PM,Md. Ashraf Aziz Ishrak Fahim,AAIF,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AF,303,303,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Nazmul Huda,NaHu,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AG,303,303,Sat,Tue,12:31:PM - 01:50:PM,12:31:PM - 01:50:PM,Nazmul Huda,NaHu,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AH,304,304,Sun,Wed,03:11:PM - 04:30:PM,03:11:PM - 04:30:PM,Md. Ashraf Aziz Ishrak Fahim,AAIF,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AA,305,305,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Al Jamal Mustafa Shindaini,AJMSh,2
BSCSE,BDS 1201,History of the Emergence of Bangladesh,AB,303,303,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Mabia Momen,MaMmn,2
BSCSE,BIO 3105,Biology for Engineers,A,306,306,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Muhammad Sibgatullah Zunnun,MSZn,3
BSCSE,BIO 3105,Biology for Engineers,B,304,304,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Hasin Anupama Azhari,HAA,3
